어휘,길잡이말,품사,
-가,전문가,접사,
가까이,가까이 다가오다,부사/명사,
가꾸다,나무를 가꾸다,동사,
가난,에 찌들다,명사,
가능,주차 가능,명사,
가능성,이 높다,명사,
가득하다,물이,형용사,
가득히,물을 가득히 따르다,부사,
가라앉다,먼지가,동사,
-가량,한 시간가량,접사,
가렵다,몸이,형용사,
가로,세로,명사/부사,
가로등,이 켜지다,명사,
가로막다,길을,동사,
가루,로 만들다,명사,
가르다,칼로,동사,
가리다,얼굴을,동사,
가리다,시비를,동사,
가만,가만 놔두다,부사,
가만있다,잠자코 가만있다,동사,
가만히,가만히 두다,부사,
가뭄,이 들다,명사,
가사,노래 가사,명사,
가스,가스가 떨어지다,명사,
가스레인지,를 켜다,명사,
가습기,를 켜다,명사,
가입,을 권유하다,명사,
가입자,를 모집하다,명사,
가장,집안의 가장,명사,
가전제품,을 구입하다,명사,
가정,을 이루다,명사,
가정,을 해 보다,명사,
가정주부,로 살다,명사,
가져다주다,물건을,동사,
가죽,가죽 잠바,명사,
가지,를 꺾다,명사,
가짜,로 꾸미다,명사,
가치,가 높다,명사,
가치관,이 바뀌다,명사,
가톨릭,을 믿다,명사,
각,각 개인,관형사,
각국,아시아 각국,명사,
각오,를 다지다,명사,
각자,각자가 맡다,명사/부사,
각종,각종 과일,명사,
간,을 보다,명사,
간,신체,명사,
간,서울과 부산 간,의존명사,
-간,이틀간,접사,
간격,을 넓히다,명사,
간섭,을 받다,명사,
간신히,간신히 살아나다,부사,
간절하다,간절한 기도,형용사,
간접적,간접적 영향,관형사·명사,
간지럽다,눈이,형용사,
간판,을 걸다,명사,
간편하다,사용이,형용사,
간호,를 받다,명사,
간혹,간혹 생기다,부사/명사,
갇히다,감옥에,동사,
갈다,붕대를,동사,
갈등,이 심하다,명사,
갈라지다,벽이,동사,
갈수록,갈수록 더하다,부사,
갈증,이 나다,명사,
-감,책임감,접사,
감각,이 없다,명사,
감다,붕대를,동사,
감독,을 강화하다,명사,
감동,을 받다,명사,
감동적,감동적 이야기,관형사·명사,
감상,음악 감상,명사,
감상문,독서 감상문,명사,
