어휘,길잡이말,품사,
가게,에 가다,명사,
가격,이 비싸다,명사,
가구,책상,명사,
가깝다,거리가,형용사,
가끔,가끔 보다,부사,
가늘다,손가락이,형용사,
가다,학교에,동사,
가득,가득 담다,부사,
가르치다,한국어를,동사,
가리키다,손가락으로,동사,
가방,을 메다,명사,
가볍다,짐이,형용사,
가수,직업,명사,
가슴,신체,명사,
가요,를 부르다,명사,
가운데,가운데 자리,명사,
가위,로 자르다,명사,
가을,계절,명사,
가장,가장 빠르다,부사,
가져가다,집에,동사,
가져오다,학교로,동사,
가족,식구,명사,
가지,몇,의존명사,
가지다,돈을,동사,
각각,각각 다르다,부사/명사,
간단하다,간단한 설명,형용사,
간단히,간단히 끝내다,부사,
간식,을 먹다,명사,
간장,을 넣다,명사,
간호사,로 일하다,명사,
갈비,를 먹다,명사,
갈비탕,을 먹다,명사,
갈색,색깔,명사,
갈아입다,옷을,동사,
갈아타다,기차를,동사,
감,과일,명사,
감기,에 걸리다,명사,
감기약,을 먹다,명사,
감다,눈을,동사,
감다,머리를,동사,
감사,감사 인사,명사,
감자,채소,명사,
갑자기,갑자기 나타나다,부사,
값,을 깎다,명사,
강,을 건너다,명사,
강아지,를 키우다,명사,
강하다,힘이,형용사,
갖다,돈을,동사,
같다,서로 같다,형용사,
같이,같이 살다,부사,
갚다,돈을,동사,
개,동물,명사,
개,한 개,의존명사,
개월,삼 개월,의존명사,
거,것,의존명사,
거기,거기에 있다,대명사,
거리,로 나가다,명사,
거리,가 가깝다,명사,
거실,집,명사,
거울,을 보다,명사,
거의,거의 없다,부사/명사,
거절,을 하다,명사,
거짓말,을 하다,명사,
걱정,이 되다,명사,
건강,이 나빠지다,명사,
건너가다,길을,동사,
건너다,길을,동사,
건너편,으로 가다,명사,
건물,을 짓다,명사,
걷다,길을,동사,
걸다,그림을,동사,
걸리다,그림이,동사,
걸어가다,학교에,동사,
걸어오다,집에,동사,
걸음,이 느리다,명사,
검사,숙제 검사,명사,
검은색,색깔,명사,
검정,색깔,명사,
것,먹을 것,의존명사,
겉,안과 겉,명사,
게으르다,사람이,형용사,
게임,컴퓨터 게임,명사,
겨울,계절,명사,
결과,가 나오다,명사,
결석,을 하다,명사,
결심,을 하다,명사,
결정,을 내리다,명사,
결혼,을 하다,명사,
결혼식,을 올리다,명사,
경기,를 보다,명사,
경찰,경찰 조사(기관),명사,
경찰서,에 신고하다,명사,
경치,가 좋다,명사,
경험,을 쌓다,명사,
계단,을 오르다,명사,
계란,을 먹다,명사,
계산,이 정확하다,명사,
계속,계속 달리다,부사/명사,
계시다,한국에,동사,
계절,이 바뀌다,명사,
계획,을 세우다,명사,
고개,를 들다,명사,
고기,를 먹다,명사,
고등학교,에 입학하다,명사,
고등학생,이 되다,명사,
고르다,선물을,동사,
고맙다,마음이,형용사,
고모,친척,명사,
고민,을 나누다,명사,
고속버스,를 타다,명사,
고양이,를 기르다,명사,
고장,이 나다,명사,
고추장,을 넣다,명사,
고치다,컴퓨터를,동사,
고프다,배가,형용사,
고향,에 가다,명사,
곧,곧 가다,부사,
곳,어느 곳,명사,
공,을 굴리다,명사,
공무원,으로 일하다,명사,
공부,를 하다,명사,
공원,에서 놀다,명사,
공장,에서 일하다,명사,
공짜,로 주다,명사,
공책,에 쓰다,명사,
공항,공항 터미널,명사,
공휴일,로 정하다,명사,
과거,를 잊다,명사,
과일,을 깎다,명사,
과자,를 먹다,명사,
관계,를 맺다,명사,
관광,국내 관광,명사,
관광객,외국인 관광객,명사,
관광지,국내 관광지,명사,
관심,을 가지다,명사,
광고,신문 광고,명사,
광주,지명,명사,
괜찮다,성격이,형용사,
괴로워하다,통증으로,동사,
교과서,에서 배우다,명사,
교사,수학 교사,명사,
교수,대학 교수,명사,
교실,에 들어가다,명사,
교육,을 받다,명사,
교통,교통 수단,명사,
교통비,가 들다,명사,
교통사고,가 나다,명사,
교환,을 하다,명사,
교회,기독교,명사,
구,숫자,수사/관형사,
구경,을 다니다,명사,
구두,를 신다,명사,
구름,이 끼다,명사,
구십,구십 살,수사/관형사,
구월,달(월),명사,
국,을 끓이다,명사,
국내,국내 여행,명사,
국수,를 먹다,명사,
국적,대한민국 국적,명사,
국제,국제 관계,명사,
군인,직업 군인,명사,
굳다,땅이,동사/형용사,
굵다,손가락이,형용사,
굽다,고기를,동사,
궁금하다,소식이,형용사,
권,책 한 권,의존명사,
귀,로 듣다,명사,
귀걸이,를  달다,명사,
귀여워하다,강아지를,동사,
귀엽다,얼굴이,형용사,
귀찮다,일이,형용사,
규칙,을 어기다,명사,
귤,을 까다,명사,
그,그 사람,관형사/대명사,
그거,그것,대명사,
그것,−,대명사,
그곳,에 가다,대명사,
그날,그날 일,명사,
그냥,그냥 가다,부사,
그대로,그대로 두다,부사,
그동안,그동안 잘 지내다,명사,
그때,그때 그시절,명사,
그래,대답,감탄사,
그래서,−,부사,
그러나,−,부사,
그러니까,−,부사,
